Date,Language,Total recipe ingredients,AcceptedAsBest,AnnotationProposed,Flagged,NothingProposed
29/01/2016,en,1344493,864677,125009,8890,359987
29/01/2016,en-us,0,0,0,0,0
29/01/2016,en-gb,0,0,0,0,0
29/01/2016,es,12400,5741,3850,106,2796
29/01/2016,es-ar,36101,20137,4363,4,11912
29/01/2016,es-mx,36342,22424,8871,187,5230
29/01/2016,fr,70254,56986,5194,268,7860
29/01/2016,fr-ca,61671,43134,105,0,18470
29/01/2016,de,66960,31796,8235,0,26933
29/01/2016,nl,64711,38549,6379,0,19785
2016-02-02,en,1345340,865508,124338,8890,360672
2016-02-02,en-us,0,0,0,0,0
2016-02-02,en-gb,0,0,0,0,0
2016-02-02,es,12421,5741,3850,106,2817
2016-02-02,es-ar,36107,20137,4363,4,11918
2016-02-02,es-mx,36357,22424,8871,187,5245
2016-02-02,fr,70305,56986,5194,268,7911
2016-02-02,fr-ca,61746,43134,105,0,18545
2016-02-02,de,67028,31796,8235,0,27001
2016-02-02,nl,64719,38549,6379,0,19793
